Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
81,Kentavious Caldwell-Pope,SG,30,DEN,53,53,31.7,3.4,7.8,.438,1.4,3.8,.375,2.0,4.0,.498,.529,1.6,1.8,.916,0.4,1.9,2.4,2.3,1.3,0.4,1.0,1.8,9.9,caldwke01
82,Toumani Camara,PF,23,POR,56,36,23.7,2.6,6.1,.433,0.8,2.4,.309,1.9,3.7,.515,.494,1.0,1.4,.734,1.9,2.9,4.8,1.1,1.0,0.4,1.2,2.5,7.1,camarto01
83,Clint Capela,C,29,ATL,50,50,25.4,4.7,8.3,.563,0.0,0.0,,4.7,8.3,.563,.563,1.8,2.7,.650,4.7,5.7,10.5,0.9,0.6,1.5,0.9,2.4,11.1,capelca01
84,Jevon Carter,PG,28,CHI,55,0,13.7,1.9,5.2,.368,1.1,3.4,.332,0.8,1.8,.436,.476,0.1,0.1,.600,0.1,0.7,0.8,1.2,0.5,0.2,0.5,1.0,5.0,carteje01
85,Wendell Carter Jr.,C,24,ORL,33,27,26.1,4.3,7.8,.544,1.2,2.9,.411,3.1,5.0,.622,.620,1.8,2.6,.718,1.8,4.8,6.6,1.6,0.5,0.5,1.2,2.4,11.6,cartewe01
86,D.J. Carton,SG,23,TOR,1,0,4.0,1.0,1.0,1.000,0.0,0.0,,1.0,1.0,1.000,1.000,1.0,1.0,1.000,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,3.0,cartodj01
87,Alex Caruso,SG,29,CHI,50,37,27.2,3.5,7.3,.474,1.7,4.4,.386,1.8,2.9,.607,.590,1.1,1.5,.781,1.0,2.8,3.7,2.8,1.5,1.1,1.4,2.6,9.8,carusal01
88,Colin Castleton,C,23,LAL,7,0,5.1,1.0,1.4,.700,0.0,0.0,,1.0,1.4,.700,.700,0.6,0.6,1.000,0.6,0.7,1.3,0.4,0.0,0.0,0.1,1.0,2.6,castlco01
89,Malcolm Cazalon,SG,22,DET,1,0,3.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cazalma01
90,Julian Champagnie,SF,22,SAS,52,37,16.8,1.9,4.8,.398,1.2,3.4,.360,0.7,1.4,.493,.526,0.8,0.9,.796,0.6,2.0,2.6,1.2,0.6,0.6,0.6,1.1,5.8,champju02
91,Justin Champagnie,SF,22,WAS,2,0,5.0,2.5,3.5,.714,0.5,1.5,.333,2.0,2.0,1.000,.786,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,5.5,champju01
92,Max Christie,SG,20,LAL,46,7,17.1,1.8,4.3,.423,0.7,2.1,.351,1.1,2.2,.495,.510,0.7,0.9,.780,0.3,2.3,2.6,1.1,0.4,0.3,0.7,1.2,5.0,chrisma02
93,Sidy Cissoko,SF,19,SAS,5,0,6.4,0.2,1.2,.167,0.0,0.8,.000,0.2,0.4,.500,.167,0.8,0.8,1.000,0.0,1.2,1.2,0.0,0.6,0.0,0.2,0.4,1.2,cissosi01
94,Jordan Clarkson,SG,31,UTA,49,19,30.2,6.1,14.7,.413,1.7,5.6,.297,4.4,9.1,.484,.469,3.3,3.7,.880,0.9,2.4,3.4,5.0,0.6,0.1,2.7,1.4,17.1,clarkjo01
95,Nic Claxton,C,24,BRK,48,48,29.3,5.3,8.4,.626,0.0,0.1,.250,5.3,8.3,.630,.627,1.4,2.5,.568,2.8,7.1,9.9,1.9,0.6,2.2,1.2,2.5,12.0,claxtni01
96,Noah Clowney,PF,19,BRK,7,0,9.9,1.6,2.6,.611,0.1,0.6,.250,1.4,2.0,.714,.639,0.9,0.9,1.000,0.9,1.0,1.9,0.9,0.0,0.1,0.4,0.7,4.1,clownno01
97,Amir Coffey,SF,26,LAC,44,8,18.4,2.2,4.0,.534,0.8,2.0,.425,1.3,2.1,.637,.638,1.0,1.1,.894,0.4,1.3,1.7,0.8,0.5,0.1,0.4,1.3,6.1,coffeam01
98,John Collins,PF,26,UTA,55,53,27.8,5.6,10.8,.518,1.2,3.5,.337,4.4,7.3,.603,.572,1.9,2.3,.791,2.3,6.1,8.4,1.2,0.6,0.9,1.5,2.8,14.2,collijo01
99,Zach Collins,C,26,SAS,47,24,23.6,4.4,9.2,.475,0.9,3.0,.289,3.5,6.2,.566,.522,1.7,2.3,.750,1.7,3.7,5.4,3.0,0.5,0.7,2.0,3.1,11.3,colliza01
100,Mike Conley,PG,36,MIN,53,53,28.7,3.6,8.1,.450,2.3,5.2,.449,1.3,2.8,.450,.595,1.1,1.2,.923,0.4,2.4,2.8,6.2,1.0,0.2,1.1,1.6,10.7,conlemi01
101,Pat Connaughton,SF,31,MIL,53,2,21.4,1.9,4.2,.464,1.1,2.9,.383,0.8,1.3,.647,.597,0.4,0.5,.690,0.7,2.7,3.3,2.0,0.5,0.2,0.6,1.2,5.4,connapa01
102,Bilal Coulibaly,SF,19,WAS,56,8,26.7,2.9,6.7,.442,1.0,2.8,.357,2.0,3.9,.502,.516,1.3,2.0,.682,0.9,3.1,4.0,1.7,0.9,0.8,1.4,2.1,8.2,coulibi01
103,Ricky Council IV,SG,22,PHI,18,0,9.7,2.0,3.9,.507,0.2,0.9,.250,1.8,3.1,.582,.535,2.2,2.9,.769,0.7,1.4,2.1,0.4,0.1,0.0,0.2,0.4,6.4,councri01
104,Robert Covington,SF-PF,33,TOT,29,6,16.8,1.5,3.4,.439,0.7,1.9,.339,0.8,1.4,.571,.536,0.8,0.9,.846,1.1,2.3,3.3,0.8,1.3,0.6,0.4,1.9,4.4,covinro01
104,Robert Covington,PF,33,LAC,3,3,23.0,1.0,3.0,.333,0.7,2.7,.250,0.3,0.3,1.000,.444,0.3,0.7,.500,0.7,2.0,2.7,2.3,2.0,0.7,0.0,2.3,3.0,covinro01
104,Robert Covington,SF,33,PHI,26,3,16.1,1.5,3.4,.449,0.7,1.8,.354,0.9,1.6,.561,.545,0.8,0.9,.875,1.1,2.3,3.4,0.7,1.3,0.6,0.4,1.9,4.5,covinro01
105,Torrey Craig,SF,33,CHI,33,8,21.0,2.2,5.1,.425,1.1,3.0,.374,1.0,2.1,.500,.536,0.6,0.8,.778,1.7,3.1,4.7,1.1,0.6,0.5,0.6,2.3,6.1,craigto01
106,Jae Crowder,PF,33,MIL,28,12,25.0,2.4,5.5,.432,1.3,3.6,.356,1.1,1.9,.574,.548,0.6,0.9,.667,0.5,3.2,3.7,1.6,0.8,0.2,0.5,1.6,6.6,crowdja01
107,Jalen Crutcher,PG,24,NOP,1,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,crutcja01
108,Cade Cunningham,PG,22,DET,48,48,33.9,8.4,18.4,.458,1.9,5.3,.361,6.5,13.1,.497,.510,3.8,4.4,.853,0.5,3.7,4.2,7.4,0.9,0.4,3.6,2.7,22.5,cunnica01
109,Seth Curry,SG,33,TOT,42,3,13.7,1.7,4.5,.386,0.8,2.4,.343,0.9,2.1,.437,.479,0.6,0.7,.900,0.4,1.1,1.5,1.0,0.5,0.1,0.5,0.8,5.0,curryse01
109,Seth Curry,SG,33,DAL,36,3,12.7,1.5,4.0,.372,0.8,2.2,.363,0.7,1.8,.385,.472,0.5,0.5,.895,0.4,1.0,1.4,0.8,0.5,0.1,0.4,0.9,4.3,curryse01
109,Seth Curry,SG,33,CHO,6,0,19.8,3.2,7.3,.432,1.0,3.7,.273,2.2,3.7,.591,.500,1.7,1.8,.909,0.3,1.7,2.0,1.8,0.5,0.5,0.5,0.5,9.0,curryse01
110,Stephen Curry,PG,35,GSW,54,54,33.3,9.0,19.8,.455,4.9,12.0,.410,4.1,7.7,.526,.580,4.6,5.0,.922,0.4,3.8,4.2,5.1,0.8,0.4,3.0,1.8,27.5,curryst01
111,Dyson Daniels,PG,20,NOP,52,15,21.9,2.2,4.9,.438,0.6,2.1,.291,1.5,2.8,.548,.500,0.6,1.0,.640,1.0,2.7,3.7,2.6,1.4,0.4,1.0,1.6,5.5,daniedy01
112,Anthony Davis,C,30,LAL,55,55,35.7,9.5,17.1,.557,0.3,1.3,.271,9.2,15.9,.580,.567,5.5,6.8,.810,3.1,9.2,12.3,3.7,1.1,2.4,2.1,2.4,24.9,davisan02
113,Johnny Davis,SG,21,WAS,27,0,9.0,1.0,2.7,.365,0.1,0.4,.167,0.9,2.3,.403,.378,0.1,0.3,.444,0.4,0.9,1.3,0.3,0.3,0.1,0.3,0.9,2.2,davisjo06
114,JD Davison,SG,21,BOS,2,0,3.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,1.0,1.0,1.000,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,davisjd01
115,Dexter Dennis,SG,24,DAL,4,0,7.5,2.5,4.8,.526,0.3,2.0,.125,2.3,2.8,.818,.553,0.3,0.8,.333,0.3,2.0,2.3,1.0,0.0,0.3,0.8,0.3,5.5,dennide01
116,DeMar DeRozan,SF,34,CHI,56,56,37.7,7.8,16.5,.472,0.9,2.8,.333,6.9,13.8,.500,.500,6.1,7.2,.856,0.6,3.5,4.1,5.3,1.1,0.6,1.5,2.2,22.7,derozde01
117,Moussa Diabaté,C,22,LAC,10,0,5.8,0.9,1.8,.500,0.0,0.0,,0.9,1.8,.500,.500,0.9,1.2,.750,1.4,0.6,2.0,0.4,0.4,0.0,0.2,0.4,2.7,diabamo01
118,Mamadi Diakite,PF,27,SAS,3,0,5.3,1.3,1.7,.800,0.0,0.0,,1.3,1.7,.800,.800,1.3,2.0,.667,0.3,0.7,1.0,0.7,0.0,0.3,0.0,0.3,4.0,diakima01
119,Hamidou Diallo,SG,25,WAS,2,0,2.5,0.5,1.0,.500,0.0,0.0,,0.5,1.0,.500,.500,0.0,0.0,,1.0,0.0,1.0,0.5,1.0,0.0,0.5,0.5,1.0,diallha01
120,Gradey Dick,SG,20,TOR,37,1,15.7,2.2,5.1,.439,1.1,3.0,.382,1.1,2.1,.519,.551,0.6,0.7,.920,0.5,1.4,1.8,1.1,0.5,0.0,0.6,1.3,6.2,dickgr01
121,Ousmane Dieng,PF,20,OKC,29,0,11.2,1.5,3.5,.426,0.7,2.2,.313,0.8,1.3,.622,.525,0.5,0.6,.875,0.3,1.3,1.7,1.1,0.2,0.1,0.6,0.7,4.1,diengou01
122,Spencer Dinwiddie,PG,30,TOT,53,48,30.2,3.8,10.0,.386,1.8,5.6,.315,2.1,4.4,.476,.474,2.4,3.1,.784,0.5,2.5,3.0,5.8,0.8,0.2,1.3,1.8,11.8,dinwisp01
122,Spencer Dinwiddie,PG,30,BRK,48,48,30.7,4.1,10.4,.391,1.9,5.8,.320,2.2,4.6,.480,.480,2.6,3.3,.781,0.5,2.8,3.3,6.0,0.8,0.2,1.3,1.8,12.6,dinwisp01
122,Spencer Dinwiddie,PG,30,LAL,5,0,25.0,1.8,5.8,.310,0.8,3.4,.235,1.0,2.4,.417,.379,0.4,0.4,1.000,0.0,0.6,0.6,3.4,0.8,0.2,1.0,2.4,4.8,dinwisp01
123,Donte DiVincenzo,SG,27,NYK,58,40,25.6,4.9,10.9,.455,3.2,7.6,.416,1.8,3.3,.545,.601,0.9,1.2,.729,0.7,2.6,3.3,2.4,1.2,0.4,1.2,2.0,13.9,divindo01
124,Luka Dončić,PG,24,DAL,50,50,37.5,11.7,23.6,.494,3.9,10.3,.384,7.7,13.3,.580,.578,7.2,9.3,.782,0.7,8.1,8.8,9.6,1.5,0.6,3.9,2.0,34.5,doncilu01
125,Luguentz Dort,SF,24,OKC,56,56,28.4,3.6,8.2,.440,1.9,4.9,.401,1.7,3.4,.497,.559,1.5,1.9,.817,1.1,2.7,3.8,1.3,0.9,0.7,0.9,3.0,10.7,dortlu01
126,Ayo Dosunmu,SG,24,CHI,56,17,26.2,4.1,8.2,.497,1.4,3.4,.406,2.7,4.7,.562,.582,0.9,1.1,.774,0.7,2.0,2.7,2.6,0.9,0.4,1.1,2.1,10.4,dosunay01
127,Andre Drummond,C,30,CHI,58,9,16.9,3.4,6.1,.556,0.0,0.1,.000,3.4,6.1,.561,.556,1.5,2.6,.575,3.4,5.3,8.7,0.5,1.0,0.6,1.1,1.7,8.3,drumman01
128,Chris Duarte,SF,26,SAC,40,11,13.1,1.3,3.4,.365,0.7,2.0,.329,0.6,1.5,.414,.460,0.5,0.7,.778,0.4,1.4,1.8,0.9,0.5,0.1,0.5,1.6,3.7,duartch01
129,Kris Dunn,PG,29,UTA,51,27,18.1,2.2,4.6,.481,0.6,1.6,.402,1.6,3.0,.523,.551,0.3,0.5,.680,0.7,2.1,2.9,4.0,1.1,0.4,1.3,1.9,5.5,dunnkr01
130,Kevin Durant,PF,35,PHO,51,51,37.1,10.1,19.1,.530,2.2,5.2,.423,7.9,13.9,.570,.588,5.5,6.3,.864,0.5,6.1,6.7,5.6,0.9,1.3,3.2,1.9,28.0,duranke01
131,Jalen Duren,C,20,DET,43,42,30.2,6.0,9.7,.627,0.0,0.1,.000,6.0,9.6,.631,.627,1.9,2.5,.750,3.3,8.7,12.0,2.6,0.5,0.9,2.0,3.3,14.0,durenja01
132,Tari Eason,PF,22,HOU,22,0,21.8,4.0,8.6,.466,0.8,2.3,.360,3.2,6.3,.504,.513,1.0,1.5,.636,2.1,4.9,7.0,1.2,1.4,0.9,0.9,2.3,9.8,easonta01
133,Anthony Edwards,SG,22,MIN,55,55,35.0,9.2,19.7,.468,2.6,6.8,.384,6.6,12.9,.511,.534,5.4,6.5,.835,0.6,4.8,5.3,5.2,1.3,0.5,3.2,1.9,26.5,edwaran01
134,Kessler Edwards,SF,23,SAC,38,0,4.7,0.6,1.3,.412,0.3,0.9,.364,0.2,0.5,.500,.529,0.1,0.1,.750,0.1,0.6,0.7,0.2,0.1,0.1,0.0,0.4,1.5,edwarke02
135,Keon Ellis,SG,24,SAC,33,3,11.5,1.2,2.7,.422,0.8,2.2,.370,0.3,0.5,.647,.572,0.3,0.5,.647,0.3,1.0,1.2,1.2,0.4,0.4,0.5,1.4,3.5,elliske01
136,Joel Embiid,C,29,PHI,34,34,34.0,11.8,22.2,.533,1.2,3.3,.366,10.6,18.9,.562,.560,10.5,11.9,.883,2.6,8.7,11.3,5.7,1.1,1.8,3.7,2.9,35.3,embiijo01
137,Drew Eubanks,C,26,PHO,52,4,15.9,2.2,3.6,.624,0.1,0.1,1.000,2.2,3.5,.617,.632,1.0,1.4,.736,1.3,2.9,4.2,0.9,0.4,0.9,0.9,1.6,5.5,eubandr01
138,Tosan Evbuomwan,SF,22,TOT,6,0,15.0,1.2,3.0,.389,0.5,1.5,.333,0.7,1.5,.444,.472,0.0,0.0,,1.3,1.3,2.7,1.0,0.2,0.2,0.2,1.0,2.8,evbuoto01
138,Tosan Evbuomwan,SF,22,MEM,4,0,18.5,1.0,3.8,.267,0.5,2.0,.250,0.5,1.8,.286,.333,0.0,0.0,,2.0,1.5,3.5,1.5,0.0,0.3,0.3,1.3,2.5,evbuoto01
138,Tosan Evbuomwan,SF,22,DET,2,0,8.0,1.5,1.5,1.000,0.5,0.5,1.000,1.0,1.0,1.000,1.167,0.0,0.0,,0.0,1.0,1.0,0.0,0.5,0.0,0.0,0.5,3.5,evbuoto01
139,Dante Exum,PG,28,DAL,32,14,19.7,3.6,6.3,.571,1.0,2.0,.477,2.7,4.3,.616,.648,1.0,1.4,.727,0.6,2.2,2.8,2.8,0.6,0.2,0.8,1.6,9.2,exumda01
140,Bruno Fernando,C,25,ATL,21,1,10.0,1.8,3.2,.559,0.0,0.1,.000,1.8,3.1,.585,.559,1.1,1.8,.605,1.1,2.0,3.0,0.6,0.3,0.5,0.5,1.4,4.7,fernabr01
141,Dorian Finney-Smith,PF,30,BRK,49,38,27.7,3.2,7.6,.414,1.9,5.1,.373,1.3,2.6,.496,.539,0.4,0.6,.679,1.7,3.1,4.7,1.4,0.7,0.6,0.8,2.4,8.6,finnedo01
142,Adam Flagler,SG,24,OKC,1,0,6.0,0.0,3.0,.000,0.0,3.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,flaglad01
143,Malachi Flynn,PG,25,TOT,51,0,11.7,1.5,3.7,.402,0.7,2.0,.346,0.8,1.7,.471,.497,0.5,0.7,.757,0.3,1.3,1.6,1.7,0.4,0.1,0.8,1.0,4.2,flynnma01
143,Malachi Flynn,PG,25,TOR,31,0,15.3,1.8,4.4,.409,0.9,2.6,.350,0.9,1.8,.491,.511,0.5,0.7,.773,0.4,1.7,2.1,2.4,0.6,0.2,1.1,1.4,5.1,flynnma01
143,Malachi Flynn,PG,25,NYK,14,0,4.3,0.6,1.6,.391,0.3,0.9,.308,0.4,0.7,.500,.478,0.6,0.8,.818,0.0,0.4,0.4,0.4,0.1,0.0,0.2,0.2,2.2,flynnma01
143,Malachi Flynn,PG,25,DET,6,0,10.2,1.8,4.8,.379,0.7,1.8,.364,1.2,3.0,.389,.448,0.3,0.7,.500,0.0,1.5,1.5,1.5,0.5,0.0,0.8,0.7,4.7,flynnma01
144,Simone Fontecchio,SF,28,TOT,57,39,23.8,3.6,7.8,.457,1.9,4.9,.396,1.6,2.9,.560,.581,0.6,0.8,.778,1.0,2.5,3.5,1.5,0.6,0.3,1.0,1.6,9.7,fontesi01
144,Simone Fontecchio,SF,28,UTA,50,34,23.2,3.2,7.2,.450,1.8,4.7,.391,1.4,2.5,.560,.577,0.6,0.8,.800,1.0,2.5,3.5,1.5,0.6,0.4,1.0,1.6,8.9,fontesi01
144,Simone Fontecchio,SF,28,DET,7,5,28.1,6.0,12.3,.488,2.7,6.4,.422,3.3,5.9,.561,.599,0.4,0.7,.600,0.9,2.6,3.4,1.9,0.7,0.0,0.6,1.3,15.1,fontesi01
145,Jordan Ford,PG,25,SAC,6,0,3.7,0.7,1.2,.571,0.3,0.5,.667,0.3,0.7,.500,.714,0.3,0.3,1.000,0.0,0.3,0.3,0.3,0.0,0.0,0.2,0.0,2.0,fordjo01
146,Trent Forrest,SG,25,ATL,20,0,10.5,0.8,2.4,.319,0.1,0.4,.286,0.7,2.0,.325,.340,0.4,0.5,.800,0.3,1.1,1.3,2.1,0.4,0.1,0.6,0.9,2.0,forretr01
147,Evan Fournier,SG,31,TOT,9,0,16.8,2.6,6.6,.390,1.3,4.2,.316,1.2,2.3,.524,.492,0.8,1.0,.778,0.2,1.9,2.1,0.8,1.1,0.2,1.0,1.4,7.2,fournev01
147,Evan Fournier,SG,31,NYK,3,0,13.0,1.3,6.7,.200,0.7,5.0,.133,0.7,1.7,.400,.250,0.7,0.7,1.000,0.0,1.3,1.3,1.0,1.3,0.0,0.3,1.3,4.0,fournev01
147,Evan Fournier,SG,31,DET,6,0,18.7,3.2,6.5,.487,1.7,3.8,.435,1.5,2.7,.563,.615,0.8,1.2,.714,0.3,2.2,2.5,0.7,1.0,0.3,1.3,1.5,8.8,fournev01
148,De'Aaron Fox,PG,26,SAC,51,51,35.6,9.8,20.7,.471,2.8,7.6,.369,6.9,13.1,.531,.539,4.5,6.4,.709,0.9,3.3,4.2,5.6,1.9,0.4,2.7,2.6,26.9,foxde01
149,Javon Freeman-Liberty,PG,24,TOR,2,0,2.0,0.5,1.5,.333,0.0,0.0,,0.5,1.5,.333,.333,0.0,0.0,,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,freemja01
150,Alex Fudge,SF,20,LAL,4,0,3.5,0.3,1.5,.167,0.0,0.5,.000,0.3,1.0,.250,.167,0.5,0.5,1.000,0.5,0.0,0.5,0.0,0.0,0.0,0.3,0.3,1.0,fudgeal01
151,Markelle Fultz,PG,25,ORL,23,15,23.5,3.9,8.1,.484,0.0,0.4,.111,3.9,7.7,.503,.487,0.4,0.8,.526,1.4,2.1,3.5,3.4,1.2,0.3,1.3,1.6,8.3,fultzma01
152,Daniel Gafford,C-PF,25,TOT,51,47,25.5,4.5,6.6,.681,0.0,0.0,,4.5,6.6,.681,.681,1.9,2.6,.709,2.9,5.1,8.0,1.5,0.9,2.1,1.0,3.2,10.8,gaffoda01
152,Daniel Gafford,C,25,WAS,45,45,26.5,4.5,6.5,.690,0.0,0.0,,4.5,6.5,.690,.690,1.9,2.6,.706,2.9,5.1,8.0,1.5,1.0,2.2,1.0,3.3,10.9,gaffoda01
152,Daniel Gafford,PF,25,DAL,6,2,18.0,4.2,6.8,.610,0.0,0.0,,4.2,6.8,.610,.610,1.8,2.5,.733,3.0,5.0,8.0,0.8,0.3,1.5,0.8,2.3,10.2,gaffoda01
153,Danilo Gallinari,PF-SF,35,TOT,35,0,14.4,2.0,4.6,.444,0.8,2.2,.346,1.3,2.3,.537,.528,2.1,2.4,.857,0.5,2.2,2.7,1.3,0.3,0.1,0.4,1.1,6.9,gallida01
153,Danilo Gallinari,PF,35,WAS,26,0,14.8,2.2,5.0,.435,0.8,2.5,.313,1.4,2.6,.552,.511,1.8,2.2,.839,0.5,2.5,2.9,1.2,0.2,0.1,0.5,1.0,7.0,gallida01
153,Danilo Gallinari,SF,35,DET,6,0,15.0,2.0,3.7,.545,1.2,2.0,.583,0.8,1.7,.500,.705,3.5,4.0,.875,0.3,2.0,2.3,2.0,0.3,0.3,0.2,1.5,8.7,gallida01
153,Danilo Gallinari,SF,35,MIL,3,0,9.7,0.7,2.3,.286,0.0,0.7,.000,0.7,1.7,.400,.286,1.3,1.3,1.000,0.7,0.3,1.0,1.0,0.3,0.0,0.7,1.0,2.7,gallida01
154,Darius Garland,PG,24,CLE,33,33,32.2,6.5,14.0,.463,1.7,5.2,.335,4.8,8.8,.538,.525,3.2,3.8,.848,0.5,1.8,2.3,6.2,1.4,0.1,3.2,1.3,17.9,garlada01
155,Usman Garuba,PF,21,GSW,3,0,2.7,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.3,0.0,0.3,0.3,0.3,0.0,0.0,0.7,0.0,garubus01
156,Luka Garza,C,25,MIN,14,0,2.9,0.8,1.8,.440,0.2,0.6,.333,0.6,1.1,.500,.500,0.6,0.9,.667,0.4,0.4,0.8,0.1,0.0,0.0,0.1,0.8,2.4,garzalu01
157,Kaiser Gates,SF,27,NOP,1,0,7.0,0.0,4.0,.000,0.0,2.0,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,gateska01
158,Keyonte George,PG,20,UTA,53,22,25.3,3.8,9.8,.388,1.9,5.5,.347,1.9,4.3,.441,.486,2.2,2.7,.818,0.3,2.5,2.8,4.4,0.5,0.1,2.1,1.2,11.7,georgke01
159,Paul George,PF,33,LAC,52,52,33.8,7.8,17.1,.456,3.3,8.2,.395,4.5,8.9,.512,.551,3.3,3.7,.905,0.5,4.8,5.3,3.7,1.6,0.4,2.0,2.9,22.1,georgpa01
160,Taj Gibson,PF,38,NYK,16,1,10.3,0.4,1.4,.304,0.0,0.4,.000,0.4,1.1,.412,.304,0.1,0.1,1.000,0.6,1.1,1.8,0.6,0.1,0.4,0.3,1.8,1.0,gibsota01
161,Josh Giddey,SG,21,OKC,57,57,24.7,4.6,10.2,.449,0.9,2.9,.327,3.6,7.4,.496,.495,1.2,1.5,.821,1.4,4.8,6.2,4.4,0.7,0.5,2.0,1.3,11.4,giddejo01
162,Harry Giles,C,25,BRK,16,0,5.1,1.4,2.8,.500,0.2,0.7,.273,1.2,2.1,.576,.534,0.4,0.8,.538,0.8,0.9,1.6,0.4,0.1,0.2,0.4,0.9,3.4,gilesha01
163,Shai Gilgeous-Alexander,PG,25,OKC,57,57,34.5,11.0,20.1,.548,1.3,3.4,.389,9.7,16.7,.580,.580,7.9,8.9,.882,0.9,4.7,5.6,6.5,2.1,0.9,2.2,2.5,31.2,gilgesh01
164,Anthony Gill,PF,31,WAS,31,0,5.6,0.7,1.6,.460,0.1,0.4,.231,0.6,1.2,.541,.490,0.5,0.6,.750,0.5,0.8,1.3,0.5,0.2,0.2,0.5,0.4,2.1,gillan01
165,Collin Gillespie,PG,24,DEN,19,0,8.5,1.2,2.4,.511,0.6,1.3,.458,0.6,1.1,.571,.633,0.3,0.4,.625,0.1,0.6,0.6,0.8,0.5,0.0,0.5,0.9,3.3,gilleco01
166,Jacob Gilyard,PG,25,MEM,37,14,17.7,1.6,3.9,.417,1.4,3.2,.425,0.2,0.6,.375,.594,0.1,0.1,1.000,0.2,0.9,1.2,3.5,0.7,0.1,0.8,0.9,4.7,gilyaja01
167,Rudy Gobert,C,31,MIN,56,56,33.6,5.2,8.1,.645,0.0,0.1,.000,5.2,8.0,.649,.645,3.3,5.1,.642,3.7,9.1,12.7,1.3,0.6,2.1,1.5,3.0,13.7,goberru01
168,Jordan Goodwin,PG,25,TOT,42,1,14.5,2.0,5.1,.394,0.6,2.0,.294,1.4,3.0,.461,.453,0.6,0.8,.788,1.0,2.0,3.0,2.0,0.6,0.2,0.7,1.1,5.2,goodwjo01
168,Jordan Goodwin,PG,25,PHO,40,0,14.0,1.9,4.8,.389,0.6,2.0,.288,1.3,2.8,.460,.448,0.6,0.7,.862,1.0,1.9,2.9,2.0,0.6,0.2,0.7,1.1,5.0,goodwjo01
168,Jordan Goodwin,PG,25,MEM,2,1,26.5,4.5,10.0,.450,1.0,2.5,.400,3.5,7.5,.467,.500,0.5,2.0,.250,1.5,3.5,5.0,3.0,1.5,0.5,1.0,1.0,10.5,goodwjo01
169,Aaron Gordon,PF,28,DEN,52,52,31.5,5.5,9.9,.551,0.6,1.9,.296,4.9,8.0,.612,.580,2.3,3.7,.639,2.4,4.1,6.5,3.1,0.8,0.7,1.5,1.9,13.8,gordoaa01
170,Eric Gordon,SG,35,PHO,49,24,29.8,4.6,10.0,.457,2.5,6.3,.389,2.1,3.6,.576,.581,0.9,1.1,.815,0.3,1.8,2.1,2.2,1.0,0.5,1.3,1.3,12.5,gordoer01
